epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.23607479829558803,2.3765816295269837,3.3333333333333335e-05,0.5432016253471375,2.195117712020874
1,0.48559370401389,2.1936275934435656,6.666666666666667e-05,0.6540522575378418,2.0751168727874756
2,0.5868264662031456,2.0877794555782043,0.0001,0.7086403369903564,1.9911813735961914
3,0.6443412230186856,1.9941981289394943,0.00013333333333333334,0.7317481637001038,1.889852523803711
4,0.675234166617246,1.8879226433862115,0.00016666666666666666,0.748492956161499,1.771965742111206
5,0.7043779189234337,1.7618954787958938,0.0002,0.7689216136932373,1.638887882232666
6,0.7247187847533996,1.6156367862347476,0.00023333333333333333,0.7910248041152954,1.4523906707763672
7,0.747593699451984,1.4339396007282217,0.0002666666666666667,0.7849966287612915,1.275374412536621
8,0.7452557689135837,1.2526630535977812,0.00030000000000000003,0.7736101746559143,1.0917052030563354
9,0.7569852743771478,1.060176577764688,0.0003333333333333333,0.7695914506912231,0.9021836519241333
10,0.764488267734698,0.8725950707684678,0.00036666666666666667,0.7555257678031921,0.7418034672737122
11,0.7600971798306888,0.7093207270828719,0.0004,0.7933690547943115,0.5816606879234314
12,0.7696075300170794,0.5602575790431491,0.00043333333333333337,0.7829872965812683,0.4701099097728729
13,0.7686804080337184,0.44562359487068204,0.00046666666666666666,0.7692565321922302,0.3652738928794861
14,0.7609506001587176,0.3500893476492761,0.0005,0.7806429862976074,0.2866295874118805
15,0.779193328008619,0.27470532500047457,0.0005,0.7816476821899414,0.24137122929096222
16,0.7715670691732689,0.23275557877271855,0.0004999848266621122,0.7709310054779053,0.21330870687961578
17,0.770248049927741,0.20349692018171356,0.0004999393084921338,0.7920295000076294,0.17410799860954285
18,0.7857936227444521,0.17463912136366277,0.0004998634510208963,0.8081045150756836,0.16347458958625793
19,0.7877104749384615,0.1649476434152151,0.0004997572634657053,0.7977226972579956,0.15953241288661957
20,0.7850373874824891,0.15890135418918125,0.0004996207587292207,0.7910248041152954,0.16049066185951233
21,0.7852792395758874,0.1565449040165472,0.0004994539533978889,0.7860013246536255,0.16212555766105652
