epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.30542510195951394,2.297209504547469,0.0001,0.31681180000305176,2.2449400424957275
1,0.4490326971089074,2.077279171539009,0.0002,0.6801741719245911,1.6987030506134033
2,0.6206430240508614,1.6292927380001874,0.00030000000000000003,0.6108506321907043,1.287163257598877
3,0.6165516558316869,1.1885926972288605,0.0004,0.672806441783905,0.8312088251113892
4,0.6619926114147956,0.7620186046996248,0.0005,0.6175485849380493,0.5429695844650269
5,0.6344172007173573,0.4770453866195241,0.0006000000000000001,0.3539852499961853,0.5921456217765808
6,0.5222275972776457,0.4020915253583444,0.0007,0.5545880794525146,0.26784104108810425
7,0.6001768732836487,0.2393063769564716,0.0008,0.44407233595848083,0.2850117087364197
8,0.5604187782614602,0.22835218595392112,0.0009000000000000001,0.41426658630371094,0.39243316650390625
9,0.5475634965327901,0.26419386353104485,0.001,0.3158071041107178,0.5142255425453186
10,0.5081983272909024,0.3071844693991022,0.001,0.376088410615921,0.4083615243434906
11,0.5343085248535926,0.2631814006135004,0.000999970690730165,0.4182853400707245,0.31132885813713074
12,0.5584338741428262,0.2258994266937632,0.0009998827663602328,0.5432016253471375,0.2049526423215866
13,0.6007522594764692,0.18426377401439423,0.000999736237208518,0.5572672486305237,0.2170977145433426
14,0.610424062254232,0.18699986340666036,0.0009995311204708665,0.5432016253471375,0.2207869440317154
15,0.6123672334152624,0.18479635364828853,0.0009992674402186364,0.6168787479400635,0.17893588542938232
16,0.647891472375721,0.16408371962948676,0.0009989452273958747,0.6108506321907043,0.17606079578399658
17,0.642016760663155,0.16356126229287288,0.0009985645198156848,0.7076356410980225,0.1469011902809143
18,0.6837509468607946,0.14735524687881862,0.0009981253621557892,0.6818486452102661,0.140091672539711
19,0.6793747024798612,0.14074234080013878,0.0009976278059532864,0.6275954246520996,0.16498678922653198
20,0.6541723038898696,0.1498041163207194,0.0009970719095986026,0.6262558698654175,0.15689504146575928
21,0.663662762543477,0.14502886713508073,0.00099645773832864,0.671801745891571,0.16025547683238983
22,0.6885307632181623,0.142030215147165,0.0009957853642191203,0.4400535821914673,0.297273725271225
23,0.6018384477687538,0.19058732838805661,0.000995054866176126,0.7032819986343384,0.12948833405971527
24,0.7010167779725626,0.12557226981660094,0.0009942663299268419,0.6466845273971558,0.1526208072900772
25,0.6829516749589815,0.1338431790402723,0.0009934198480094924,0.6255860924720764,0.1779557317495346
26,0.6814132773001259,0.14109545747894758,0.000992515519762484,0.7340924143791199,0.11711441725492477
27,0.7255850089799374,0.11692366005699022,0.000991553451312746,0.6972538232803345,0.13657806813716888
28,0.7191505300889321,0.1206296610757025,0.0009905337555632765,0.6416611075401306,0.15770922601222992
29,0.6968664122284005,0.13138291938657606,0.0009894565521798928,0.6992632150650024,0.1434028595685959
30,0.7199827402556708,0.12294839543008476,0.0009883219675771882,0.746818482875824,0.11148126423358917
31,0.7345405039163905,0.11265728256981307,0.0009871301349036964,0.7220361828804016,0.1177482083439827
32,0.738036891599314,0.11052149233468082,0.0009858811940262654,0.6872069835662842,0.11950310319662094
33,0.7278133317691471,0.11018665857749795,0.0009845752915136452,0.7659075856208801,0.10425406694412231
34,0.7596987319101981,0.10388013855511442,0.0009832125806192855,0.7146684527397156,0.1136099249124527
35,0.7390626781030533,0.10773438512595422,0.0009817932212633517,0.756865382194519,0.09758007526397705
36,0.7596201307456428,0.09995799562936529,0.0009803173800139577,0.7819826006889343,0.10300172865390778
37,0.7678823048641922,0.10220270718388054,0.0009787852300676171,0.6888814568519592,0.13941018283367157
38,0.7359387632630287,0.11361778966672377,0.00097719695122892,0.666443407535553,0.15949495136737823
39,0.7297344426496313,0.12154114195102945,0.0009755527298894294,0.7628934979438782,0.10057081282138824
40,0.7670679822427418,0.09844057813901967,0.0009738527590058099,0.7853315472602844,0.09556084126234055
41,0.7899060055203394,0.09344932749662377,0.0009720972380771822,0.761553943157196,0.11900781095027924
42,0.7751865036990664,0.10220771652022632,0.0009702863731217106,0.7689216136932373,0.10255275666713715
43,0.7803178182162276,0.09636048523179434,0.0009684203766524267,0.7933690547943115,0.09094139188528061
44,0.7825329439082277,0.09242981409124278,0.0009664994676522896,0.7625585794448853,0.10674073547124863
45,0.7779960678804905,0.09736103248363788,0.0009645238715484875,0.7980576157569885,0.09027880430221558
46,0.789820891591387,0.09105334188276475,0.0009624938201859822,0.752511739730835,0.11061269789934158
47,0.7814523203110476,0.09587369310678145,0.0009604095518003019,0.6999329924583435,0.14482277631759644
48,0.7506271578850002,0.11198907509582852,0.0009582713109895831,0.7665773630142212,0.10241345316171646
49,0.7920163627884803,0.09244182729803094,0.0009560793486858651,0.7692565321922302,0.10100355744361877
50,0.7833177506103428,0.09403024979550904,0.0009538339221256432,0.7582049369812012,0.09410533308982849
51,0.7816840136816742,0.08858132980968975,0.0009515352948196797,0.6409912705421448,0.5800097584724426
52,0.7476318965264417,0.2694409551833748,0.0009491837365220809,0.8054253458976746,0.08144501596689224
53,0.8029300530842685,0.08382054257693641,0.0009467795231986388,0.7937039732933044,0.08978614211082458
54,0.8094032862044256,0.08493225949756596,0.0009443229369944471,0.7129939794540405,0.1266424059867859
55,0.7680627088481133,0.10161354100553814,0.0009418142662007885,0.7558606863021851,0.10347124189138412
56,0.79376248837611,0.09019887983935689,0.0009392538052213037,0.8117883205413818,0.08833953738212585
57,0.8167983334545695,0.08335572759697743,0.0009366418545374411,0.8064299821853638,0.08783415704965591
58,0.8127079186362958,0.08338809575577942,0.0009339787206731943,0.830877423286438,0.07271545380353928
59,0.820488418460986,0.07757897177762395,0.0009312647161591299,0.7853315472602844,0.09432639181613922
60,0.8102674351646266,0.08469110665791625,0.0009285001594957109,0.7612190246582031,0.10045704245567322
61,0.7987842907052521,0.08862152316291398,0.0009256853751159193,0.8211654424667358,0.08162049204111099
62,0.8239252292508379,0.07815255691220455,0.0009228206933471822,0.8221701383590698,0.08143103867769241
63,0.8212165414193354,0.08071180494553452,0.0009199064503726061,0.7920295000076294,0.09851492196321487
64,0.8149380033169318,0.08516904629698586,0.0009169429881915257,0.7635632753372192,0.10244060307741165
65,0.8127525869859468,0.08351266549883085,0.000913930654579367,0.7916945815086365,0.09587019681930542
66,0.8238051684077726,0.0816857036066438,0.0009108698030468354,0.7662424445152283,0.107421875
67,0.7993406001307549,0.0892124021203693,0.0009077607927984294,0.7970529198646545,0.08112422376871109
68,0.8258746679222911,0.07634386382655266,0.0009046039886902864,0.7779638171195984,0.1082211509346962
69,0.8152302878165464,0.08491066187073332,0.0009013997611873649,0.8191560506820679,0.08384919166564941
70,0.8328769801680102,0.07567788576792686,0.0008981484863199692,0.8137977123260498,0.08013065159320831
71,0.8315539767435931,0.07532652474324637,0.0008948505456396205,0.8121232390403748,0.08288510143756866
72,0.8268585727302307,0.07613374641455642,0.0008915063261742798,0.8168118000030518,0.08554922789335251
73,0.8469094047579196,0.07121899055846788,0.000888116220382929,0.8241795301437378,0.07517307996749878
74,0.8357269074938712,0.07336163358472356,0.0008846806261095137,0.752511739730835,0.11041369289159775
75,0.8153948592483451,0.08288584598297373,0.0008811999465362545,0.8074346780776978,0.1014135479927063
76,0.829801350011738,0.08250936747896015,0.0008776745901363319,0.8302076458930969,0.07289046049118042
77,0.8516085922991464,0.06799412431588414,0.0008741049706259498,0.827863335609436,0.08296982944011688
78,0.84604713197695,0.0736295340428932,0.0008704915069157851,0.7896851897239685,0.09464853256940842
79,0.8329105765447704,0.07712378315285805,0.000866834623061825,0.7716007828712463,0.1005217656493187
80,0.8247162773521668,0.07921201269219227,0.0008631347482156039,0.8191560506820679,0.08987633138895035
81,0.8364454544738892,0.07597028975024683,0.0008593923165738394,0.6630944609642029,0.12910190224647522
82,0.7766639266265641,0.0910917202506317,0.0008556077673274775,0.833556592464447,0.07490750402212143
83,0.8567965130466934,0.06657074374753401,0.0008517815446101521,0.8211654424667358,0.08184409886598587
84,0.8421906399617501,0.07221221284718689,0.0008479140974460641,0.8127930164337158,0.0777936801314354
85,0.8408931119179507,0.06911004955000287,0.0008440058796972851,0.8027461767196655,0.08727461844682693
86,0.841296041093835,0.07226962717506316,0.0008400573500104963,0.8204956650733948,0.0751195102930069
87,0.8410730602544382,0.07070541270760768,0.0008360689717631634,0.8034159541130066,0.09129621833562851
88,0.8311169941764359,0.07674601334018992,0.0008320412130091571,0.831882119178772,0.07348178327083588
89,0.849083926972993,0.06753898451292734,0.0008279745464238256,0.7572002410888672,0.09864966571331024
90,0.825168931702955,0.07478621253453263,0.000823869449248523,0.8295378684997559,0.07942414283752441
91,0.8518856607992714,0.06909821719067906,0.0008197264032346043,0.8107836842536926,0.08759594708681107
92,0.8470065050989116,0.07366370018400731,0.0008155458945868884,0.8292029500007629,0.08191954344511032
93,0.851319081876256,0.07036914384214703,0.0008113284139066003,0.8268586993217468,0.08034753054380417
94,0.8439174785253105,0.07099118063209253,0.0008070744561337976,0.836570680141449,0.07481600344181061
